対象県（富山/石川/福井）,アンケート回答日,居住都道府県,性別,年代,職業,世帯年収,同伴者,宿泊数（全行程）,宿泊エリア（県外）,宿泊エリア（県内）,宿泊数（県内）,１泊目　宿泊先,１泊目　食事プラン,２泊目　宿泊先,２泊目　食事プラン,３泊目　宿泊先,３泊目　食事プラン,４泊目　宿泊先,４泊目　食事プラン,交通手段１（目的地まで）,交通手段１の満足度,交通手段２（目的地から）,交通手段２の満足度,交通の満足度,来県回数（観光）,エリアへの訪問回数,施設への訪問回数,目的,情報源,Facebook,Google,Googleマップ,Instagram,TikTok,X（旧Twitter）,YouTube,SNS広告,ブログ,まとめサイト,インターネット・アプリ,デジタルニュース,宿泊予約Webサイト,宿泊施設,TV・ラジオ番組やCM,ラブライブのスタンプラリー,新聞・雑誌・ガイドブック,旅行会社,友人・知人,地元の人,観光パンフレット・ポスター,観光案内所,観光展・物産展,観光連盟やDMOのHP,その他,他を検討した？,どこと比較した？（県）,どこと比較した？（観光地）,交通費,飲食費,宿泊費,買い物費,施設orエリア消費総額,観光費,訪問場所,寿司,ます寿司,海の幸食べたか,海の幸感動,満足度（食べ物・料理）,満足度（宿泊施設）,満足度（買い物（工芸品・特産品など））,満足度買い物（観光・体験）,満足度（旅行全体）,満足度（商品・サービス）,満足度理由(サービス),満足度理由,不便に感じたこと・困ったこと,最も幸せを感じた食べ物,最も幸せを感じた観光・体験,おすすめ度,再訪意向,自由意見,回答場所,あなたは石川県への旅行または 当施設 へのお出かけを、どのくらい家族や友人に薦めたいと思いますか。 0（全く薦めたくない）～10（ぜひ薦めたい）でお答えください。,個人情報保護の方針について,アンケート前に訪れた主な場所（施設やスポット名称、エリアなど）,上記名称リストにない場合について、具体的にお答えください。(前),アンケート後に訪れる予定の場所（施設やスポット名称、エリア）,上記名称リストにない場合について、具体的にお答えください。(後),会員ID,登録エリア,生まれ年,回答時の年齢,UA(UserAgent),回答月,回答エリア2,DMO,推奨項目
富山,2025/04/18 00:00:00,福島県,男性,10歳未満,,1: 300万円未満,,日帰り,,,,,,,,,,,,自家用車,,自家用車,,大いに満足,１回目,,,宿でのんびり過ごす,"Instagram, 口コミ（友人・恋人）",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,ある,"福島県, 佐賀県",,"1,000円以上3,000円未満","20,000円以上30,000円未満","30,000円以上40,000円未満",,,"1,000円以上3,000円未満","雨晴海岸岩瀬エリア, 宇奈月温泉",回転寿司店（地元）,駅（売店・自販機など）,紅ズワイガニ,シロエビ,普通,普通,満足,,満足,,,,,,,5,どちらともいえない,,立山町,,,,,,,,,,,,,,,
富山,2025/04/18 00:00:00,茨城県,男性,10歳未満,,5: 2000万円以上,,4泊以上,富山県以外には宿泊しない,,4泊以上,,夕・朝２食付き,,夕・朝２食付き,,夕・朝２食付き,,夕・朝２食付き,自家用車,,レンタカー,,大いに満足,２回目,,,温泉や露天風呂,"TikTok, 口コミ（同僚・同級生）",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ある,青森県,,"5,000円以上10,000円未満","3,000円以上5,000円未満","3,000円以上5,000円未満",,,"3,000円以上5,000円未満",雨晴海岸岩瀬エリア,居酒屋・レストラン（地元）,駅（売店・自販機など）,ブリ,フクラギ,満足,満足,満足,,大いに満足,,,,,,,5,来年もまた行きたい,,氷見市,,,,,,,,,,,,,,,
富山,2025/04/18 00:00:00,福島県,男性,10歳未満,,1: 300万円未満,,2泊,福井県,,2泊,,夕・朝２食付き,,朝食のみ,,朝食のみ,,夕食のみ,レンタカー,,タクシー,,,６回目,,,移住先や二拠点居住を視察する,"富山県内市町村の観光公式サイト, 富山県観光公式のパンフレット",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,ない,,,"40,000円以上50,000円未満","20,000円以上30,000円未満","5,000円以上10,000円未満",,,"50,000円以上100,000円未満",海王丸パーク,居酒屋・レストラン（地元）,駅（売店・自販機など）,シロエビ,食べていない,満足,大いに満足,不満,,満足,,,,,,,3,富山県在住,,上市町,,,,,,,,,,,,,,,
富山,2025/04/25 00:00:00,富山県,男性,20代,,3: 600〜1000万円,,1泊,石川県,,1泊,,朝食のみ,,,,,,,"新幹線, 在来線",,レンタカー,,満足,６回目,,,"宿でのんびり過ごす, 地元の美味しいものを食べる","Instagram, TikTok, 口コミ（友人・恋人）, 口コミ（同僚・同級生）, テレビ番組, 雑誌の特集記事",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,ある,"石川県, 福井県",,"20,000円以上30,000円未満","10,000円以上20,000円未満","10,000円以上20,000円未満",,,"30,000円以上40,000円未満","海王丸パーク, 富山市ガラス美術館, 富山城, 大谷ウォーク",居酒屋・レストラン（地元）,専門店,"ブリ, シロエビ, 甘エビ, ホタルイカ","ブリ, シロエビ, 甘エビ, ホタルイカ",大いに満足,大いに満足,満足,,大いに満足,,,,,,,9,機会があれば行きたい,,射水市,,,,,,,,,,,,,,,
富山,2025/04/25 00:00:00,富山県,男性,50代,,2: 300〜599万円,,1泊,富山県以外には宿泊しない,,1泊,,朝食のみ,,,,,,,自家用車,,自家用車,,,５回目,,,地元の美味しいものを食べる,"富山県観光公式サイト「とやま観光ナビ」, 富山県内市町村の観光公式サイト, 口コミ（同僚・同級生）",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,ない,,,"10,000円以上20,000円未満","10,000円以上20,000円未満","10,000円以上20,000円未満",,,"10,000円以上20,000円未満",立山黒部アルペンルート,回転寿司店（地元）,回転寿司店（地元）,"ブリ, フクラギ（イナダ、ハマチ）, シロエビ, 甘エビ, ホタルイカ, ゲンゲ",ホタルイカ,大いに満足,大いに満足,大いに満足,,大いに満足,,,食べ物が美味しい,公共交通機関,ホタルイカ,室堂,10,富山県在住,,宿泊先,,,,,,,,,,,,,,,
富山,2025/04/25 00:00:00,愛知県,男性,50代,,3: 600〜1000万円,,1泊,富山県以外には宿泊しない,,1泊,,朝食のみ,,,,,,,自家用車,,自家用車,,,２回目,,,花見や紅葉などの自然鑑賞,"富山県観光公式サイト「とやま観光ナビ」, 富山県内市町村の観光公式サイト, 口コミ（同僚・同級生）",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,ない,,,"40,000円以上50,000円未満","10,000円以上20,000円未満","10,000円以上20,000円未満",,,"10,000円以上20,000円未満","宇奈月温泉, 黒部峡谷鉄道, 黒部ダム, 立山黒部アルペンルート, ほたるいかミュージアム",食べていない,回転寿司店（地元）,"ブリ, 紅ズワイガニ, シロエビ, 甘エビ","ブリ, シロエビ, ホタルイカ",大いに満足,満足,満足,,大いに満足,,,立山は素晴らしい！お酒も美味しい,富山のお酒や食べ物をまとめて食べられるところが星あかり,ホタルイカのじゃぶじゃぶ,雪の大谷,9,来年もまた行きたい,,宿泊先,,,,,,,,,,,,,,,
富山,2025/04/25 00:00:00,東京都,女性,50代,,5: 2000万円以上,,1泊,富山県以外には宿泊しない,,1泊,,夕・朝２食付き,,,,,,,飛行機,,レンタカー,,普通,２回目,,,"宿でのんびり過ごす, 温泉や露天風呂, 地元の美味しいものを食べる","富山県観光公式サイト「とやま観光ナビ」, 宿泊予約Webサイト, 再訪",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,ない,,,"5,000円以上10,000円未満","5,000円以上10,000円未満","30,000円以上40,000円未満",,,使わない,観光なし,回転寿司店（地元）,食べていない,"シロエビ, 甘エビ, ホタルイカ, ゲンゲ","シロエビ, ホタルイカ",満足,大いに満足,満足,,満足,,,期待どおり,なし,宿のごはん,なし,10,来年もまた行きたい,他の観光地のような外国人で溢れるような事は望まない。静かに過ごせるのが気に入っている。,宿泊先,,,,,,,,,,,,,,,
富山,2025/04/25 00:00:00,京都府,男性,70代,,2: 300〜599万円,,2泊,富山県以外には宿泊しない,,2泊,,朝食のみ,,朝食のみ,,,,,自家用車,,自家用車,,,１回目,,,"地元の美味しいものを食べる, 名所、旧跡、寺社仏閣の観光","宿泊予約Webサイト, 旅行ガイドブック",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,ある,新潟県,,"10,000円以上20,000円未満","10,000円以上20,000円未満","5,000円以上10,000円未満",,,"3,000円以上5,000円未満","雨晴海岸, 国宝 高岡山瑞龍寺, 砺波チューリップ公園, 富山市ガラス美術館,",専門店,食べていない,"ブリ, 甘エビ, ホタルイカ, バイガイ","甘エビ, ホタルイカ",満足,大いに満足,普通,,満足,,,食事,,寿司,チューリップ公園,5,機会があれば行きたい,,宿泊先,,,,,,,,,,,,,,,
富山,2025/04/26 00:00:00,富山県,男性,50代,,4: 1000〜2000万円,,1泊,長野県,,1泊,,朝食のみ,,,,,,,自家用車,,自家用車,,,２回目,,,"温泉や露天風呂, 地元の美味しいものを食べる","富山県観光公式サイト「とやま観光ナビ」, 富山県内市町村の観光公式サイト, 口コミ（同僚・同級生）, 富山県観光公式のパンフレット, テレビ番組",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,ない,,,"20,000円以上30,000円未満","10,000円以上20,000円未満","10,000円以上20,000円未満",,,"5,000円以上10,000円未満","立山黒部アルペンルート, ほたるいかミュージアム",専門店,持ち帰り（道の駅・スーパーなど）,"ブリ, シロエビ, ホタルイカ, ゲンゲ",バイガイ,大いに満足,大いに満足,満足,,大いに満足,,,食べ物が美味しい,ありません,海の幸,大谷ウォーク雪の壁,10,富山県在住,夜遅くに。駐車場があるブラックラーメンが食べれるラーメン店がほしい,宿泊先,,,,,,,,,,,,,,,
富山,2025/04/26 00:00:00,大阪府,女性,60代,,6: 無回答,,2泊,富山県以外には宿泊しない,,2泊,,夕・朝２食付き,,食事なし（素泊まり）,,,,,"新幹線, 在来線",,レンタカー,,普通,２回目,,,"地元の美味しいものを食べる, お祭りやイベントへの参加・見物","富山県観光公式サイト「とやま観光ナビ」, 富山県内市町村の観光公式サイト, 宿泊施設のウェブサイト, 旅行ガイドブック",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,ない,,,"50,000円以上100,000円未満","20,000円以上30,000円未満","30,000円以上40,000円未満",,,"1,000円以上3,000円未満","雨晴海岸, 立山黒部アルペンルート, 砺波チューリップ公園, 富山市ガラス美術館, ほたるいかミュージアム",回転寿司店（地元）,食べていない,"シロエビ, 甘エビ, ホタルイカ, ウマヅラハギ","シロエビ, ウマヅラハギ",満足,満足,普通,,満足,,,チューリップがすごく綺麗だったこと、雨晴海岸の景色が良かった事,,お寿司,雨晴海岸,10,機会があれば行きたい,,宿泊先,,,,,,,,,,,,,,,
