対象県（富山/石川/福井）,アンケート回答日,居住都道府県,性別,年代,職業,世帯年収,同伴者,宿泊数（全行程）,宿泊エリア（県外）,宿泊エリア（県内）,宿泊数（県内）,１泊目　宿泊先,１泊目　食事プラン,２泊目　宿泊先,２泊目　食事プラン,３泊目　宿泊先,３泊目　食事プラン,４泊目　宿泊先,４泊目　食事プラン,交通手段１（目的地まで）,自家用車,レンタカー,新幹線,在来線,飛行機,旅行会社ツアーバス,県外から訪れていない（福井県在住）,交通手段２（目的地から）,タクシー,路線バス,徒歩,レンタサイクル,交通の満足度,交通の満足度の理由,来県回数（観光）,エリアへの訪問回数,施設への訪問回数,目的,宿でのんびり過ごす,温泉や露天風呂,地元の美味しいものを食べる,花見や紅葉などの自然鑑賞,名所、旧跡の観光,テーマパーク（遊園地、動物園、博物館など）,買い物、アウトレット,お祭りやイベントへの参加・見物,スポーツ観戦や芸能鑑賞（コンサート等）,アウトドア（海水浴、釣り、登山など）,まちあるき、都市散策,各種体験（手作り、果物狩りなど）,スキー・スノボ、マリンスポーツ,その他スポーツ（ゴルフ、テニスなど）,ドライブ・ツーリング,友人・親戚を尋ねる,出張など仕事関係,その他の目的,情報源,Facebook,Google,Googleマップ,Instagram,TikTok,X（旧Twitter）,YouTube,SNS広告,ブログ,まとめサイト,インターネット・アプリ,デジタルニュース,宿泊予約Webサイト,宿泊施設,TV・ラジオ番組やCM,ラブライブのスタンプラリー,新聞・雑誌・ガイドブック,旅行会社,友人・知人,地元の人,観光パンフレット・ポスター,観光案内所,観光展・物産展,観光連盟やDMOのHP,その他,他を検討した？,どこと比較した？（県）,どこと比較した？（観光地）,交通費,飲食費,宿泊費,買い物費,施設orエリア消費総額,観光費,訪問場所,寿司,ます寿司,海の幸食べたか,海の幸感動,満足度（食べ物・料理）,満足度（宿泊施設）,満足度（買い物（工芸品・特産品など））,満足度（観光・体験）,満足度（旅行全体）,満足度（商品・サービス）,満足度理由(サービス),満足度理由,不便に感じたこと・困ったこと,最も幸せを感じた食べ物,最も幸せを感じた観光・体験,おすすめ度,再訪意向,自由意見,回答場所,個人情報保護の方針について,アンケート前に訪れた主な場所（施設やスポット名称、エリアなど）,上記名称リストにない場合について、具体的にお答えください。(前),アンケート後に訪れる予定の場所（施設やスポット名称、エリア）,上記名称リストにない場合について、具体的にお答えください。(後),会員ID,登録エリア,生まれ年,回答時の年齢,UA(UserAgent),回答月,回答エリア2,DMO,推奨項目
富山,2026/01/01 00:00:00,愛知県,女,60代,,2: 300〜599万円,,1泊,富山県以外には宿泊しない,,1泊,,朝食のみ,,,,,,,旅行会社ツアーバス,0,0,0,0,0,1,0,旅行会社ツアーバス,0,0,0,0,4,,４回目,,,"花見や紅葉などの自然鑑賞, 名所、旧跡、寺社仏閣の観光",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"富山県観光公式サイト「とやま観光ナビ」, テレビ番組",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,ある,"鳥取県, 島根県",,"5,000円以上 10,000円未満","3,000円以上 5,000円未満",使わない,,,"5,000円以上 10,000円未満","雨晴海岸, 高岡大仏",食べていない,食べていない,"ブリ, フクラギ（イナダ、ハマチ）, 甘エビ","ブリ, フクラギ（イナダ、ハマチ）, 甘エビ",5,4,3,4,4,,,魚が新鮮で美味しい,,ぶり,瑞龍寺,8,来年もまた行きたい,魚が新鮮で美味しい,高岡市,,,,,,,,,,,,,,
富山,2026/01/01 00:00:00,富山県,女,20代,,2: 300〜599万円,,1泊,富山県以外には宿泊しない,,1泊,,夕・朝２食付き,,,,,,,県外から訪れていない（富山県在住）,0,0,0,0,0,0,0,自家用車,0,0,0,0,4,,４回目,,,"宿でのんびり過ごす, 温泉や露天風呂, 地元の美味しいものを食べる",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"富山県観光公式サイト「とやま観光ナビ」, 宿泊施設のウェブサイト, 口コミ（家族）",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,ない,,,使わない,"5,000円以上 10,000円未満","20,000円以上 30,000円未満",,,使わない,ばんや,食べていない,食べていない,"ブリ, 牡蠣",ブリ,5,5,3,3,3,,,鰤の刺身やブリ大根等とにかく鰤が美味しかった,,鰤,,10,来年もまた行きたい,,氷見市,,,,,,,,,,,,,,
富山,2026/01/01 00:00:00,神奈川県,男,40代,,4: 1000〜2000万円,,4泊以上,福井県,,1泊,,食事なし（素泊まり）,,,,,,,自家用車,1,0,0,0,0,0,0,自家用車,0,0,0,0,未使用,,１回目,,,地元の美味しいものを食べる,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"まとめサイト, 特になし",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ある,石川県,,使わない,"3,000円以上 5,000円未満","3,000円以上 5,000円未満",,,"1,000円以上 3,000円未満",海王丸パーク,居酒屋・レストラン（チェーン店）,食べていない,"シロエビ, ホタルイカ",シロエビ,4,4,3,3,4,,,海産物が美味しかった,,,,5,機会があれば行きたい,,富山市,,,,,,,,,,,,,,
富山,2026/01/01 00:00:00,長野県,男,40代,,3: 600〜1000万円,,1泊,福井県,,富山県内には宿泊しない,,,,,,,,,自家用車,1,0,0,0,0,0,0,自家用車,0,0,0,0,3,,５回目,,,"宿でのんびり過ごす, 温泉や露天風呂, 地元の美味しいものを食べる",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"宿泊施設のウェブサイト, 観光展・物産展",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,ない,,,"10,000円以上 20,000円未満","10,000円以上 20,000円未満","40,000円以上 50,000円未満",,,使わない,海王丸パーク,食べていない,食べていない,"紅ズワイガニ, シロエビ, ホタルイカ",シロエビ,3,3,2,3,3,,,年末年始で、どこも、忙しそう。,,,,4,機会があれば行きたい,,魚津市,,,,,,,,,,,,,,
富山,2026/01/01 00:00:00,長野県,女,40代,,3: 600〜1000万円,,1泊,富山県以外には宿泊しない,,1泊,,夕・朝２食付き,,,,,,,自家用車,1,0,0,0,0,0,0,自家用車,0,0,0,0,3,,４回目,,,"温泉や露天風呂, 地元の美味しいものを食べる",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Instagram, 宿泊施設のウェブサイト, 富山県観光公式のパンフレット",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,ない,,,使わない,"10,000円以上 20,000円未満","40,000円以上 50,000円未満",,,"1,000円未満",道の駅,食べていない,食べていない,"ブリ, 紅ズワイガニ, シロエビ, ホタルイカ",シロエビ,5,4,3,3,4,,,,,,,7,機会があれば行きたい,,魚津市,,,,,,,,,,,,,,
富山,2026/01/01 00:00:00,東京都,女,60代,,3: 600〜1000万円,,2泊,富山県以外には宿泊しない,,2泊,,夕・朝２食付き,,,,,,,旅行会社ツアーバス,0,0,0,0,0,1,0,旅行会社ツアーバス,0,0,0,0,5,,２回目,,,文化施設の見学・体験（美術館・博物館など）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"宿泊施設のウェブサイト, 旅行会社のパンフレット",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,ある,兵庫県,,"1,000円未満","1,000円未満","50,000円以上 100,000円未満",,,"3,000円以上 5,000円未満",県外しか行かない,食べていない,食べていない,"ブリ, 紅ズワイガニ, シロエビ, バイガイ",シロエビ,4,5,3,3,4,,,雪の中の観光を期待していたが意外と降らなかった,年末年始という事でクローズの所が多かったこと,ご飯が美味しい事,やまなみが綺麗だった,8,機会があれば行きたい,食べる物がなんでも美味しい,富山市,,,,,,,,,,,,,,
富山,2026/01/01 00:00:00,埼玉県,女,50代,,3: 600〜1000万円,,4泊以上,富山県以外には宿泊しない,,4泊以上,,朝食のみ,,食事なし（素泊まり）,,,,,新幹線,0,0,1,0,0,0,0,"在来線・私鉄・路面電車, 路線バス",0,1,0,0,5,,１０回目以上,,,"宿でのんびり過ごす, 地元の美味しいものを食べる",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Facebook, 口コミ（友人・恋人）",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,ない,,,"50,000円以上 100,000円未満","50,000円以上 100,000円未満","5,000円以上 10,000円未満",,,使わない,"岩瀬エリア, 富山城, 富岩運河環水公園",居酒屋・レストラン（地元）,専門店,"ブリ, シロエビ","ブリ, シロエビ",5,5,5,5,5,,,いつ訪問しても美味しいものがたくさんあります。本当に嬉しいです。,,魚,以前に駅で知り合った少年が、富山第一高校のサッカー部主将になっていたこと,10,来年もまた行きたい,,富山市,,,,,,,,,,,,,,
富山,2026/01/01 00:00:00,神奈川県,男,60代,,5: 2000万円以上,,3泊,新潟県,,1泊,,夕・朝２食付き,,,,,,,自家用車,1,0,0,0,0,0,0,自家用車,0,0,0,0,3,,３回目,,,"宿でのんびり過ごす, 温泉や露天風呂, 地元の美味しいものを食べる, 花見や紅葉などの自然鑑賞, テーマパーク（遊園地、動物園、水族館など）, 買い物（工芸品・特産品など）, アウトドア（海水浴、釣り、登山など）",1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Instagram, Facebook, YOUTUBE, 雑誌の特集記事",1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,ある,石川県,,"50,000円以上 100,000円未満","1,000円以上 3,000円未満","50,000円以上 100,000円未満",,,使わない,雨晴海岸,食べていない,持ち帰り（道の駅・スーパーなど）,"ブリ, シロエビ, 甘エビ, ホタルイカ",ブリ,5,4,3,4,5,,,,海岸線の開発,,,8,来年もまた行きたい,野生味を残して欲しいです,氷見市,,,,,,,,,,,,,,
富山,2026/01/01 00:00:00,富山県,男,50代,,3: 600〜1000万円,,1泊,富山県以外には宿泊しない,,1泊,,夕・朝２食付き,,,,,,,自家用車,1,0,0,0,0,0,0,自家用車,0,0,0,0,3,,５回目,,,"宿でのんびり過ごす, 温泉や露天風呂, 地元の美味しいものを食べる",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"まとめサイト, 口コミ（家族）",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ない,,,"20,000円以上 30,000円未満","5,000円以上 10,000円未満","20,000円以上 30,000円未満",,,使わない,富岩運河環水公園,持ち帰り（道の駅・スーパーなど）,食べていない,"ブリ, フクラギ（イナダ、ハマチ）, シロエビ","ブリ, シロエビ",4,5,3,3,4,,,,,,,9,来年もまた行きたい,,富山市,,,,,,,,,,,,,,
富山,2026/01/01 00:00:00,石川県,男,20代,,6: 無回答,,1泊,富山県以外には宿泊しない,,1泊,,夕・朝２食付き,,,,,,,"自家用車, 在来線",1,0,0,1,0,0,0,自家用車,0,0,0,0,3,,１回目,,,友人・親戚を訪ねる,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"宿泊予約Webサイト, 口コミ（家族）",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,ない,,,"1,000円以上 3,000円未満","10,000円以上 20,000円未満","10,000円以上 20,000円未満",,,使わない,"富山市ガラス美術館, 富山城, 富岩運河環水公園",居酒屋・レストラン（地元）,食べていない,"ブリ, シロエビ, 甘エビ","ブリ, シロエビ",5,5,4,4,4,,,,,,,7,富山県在住,,富山市,,,,,,,,,,,,,,
